"streetname","originalcertifybydate","newcorrectbydate","registrationid","longitude","zip","latitude","violationid","class","inspectiondate","newcertifybydate","nta","communityboard","violationstatus","councildistrict","censustract","bbl","story","block","buildingid","novid","currentstatus","currentstatusdate","lot","approveddate","novtype","ordernumber","certifieddate","highhousenumber","boro","bin","boroid","novissueddate","streetcode","novdescription","currentstatusid","originalcorrectbydate","lowhousenumber","housenumber","apartment"
"20 AVENUE","2013-12-03T00:00:00.000",NULL,357008,-74.003309,11214,40.599716,10001415,"B","2013-10-09T00:00:00.000",NULL,"Bath Beach",11,"Close",43,286,3064670012,"3",6467,809985,4707917,"VIOLATION CLOSED","2017-06-21T00:00:00.000",12,"2013-10-12T00:00:00.000","Original",530,NULL,"8841","BROOKLYN",3328521,3,"2013-10-15T00:00:00.000",70800,"SECTION 27-2005\, 2007 ADM CODE  ARRANGE AND MAKE SELF-CLOSING THE DOORS ENTRANCE TO APT.  IN THE FOYER  LOCATED AT APT G3\, 3rd STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-11-19T00:00:00.000","8841","8841","G3"
"20 AVENUE","2013-12-03T00:00:00.000",NULL,357008,-74.003309,11214,40.599716,10001417,"B","2013-10-09T00:00:00.000",NULL,"Bath Beach",11,"Close",43,286,3064670012,"3",6467,809985,4707917,"VIOLATION CLOSED","2017-06-21T00:00:00.000",12,"2013-10-12T00:00:00.000","Original",1503,NULL,"8841","BROOKLYN",3328521,3,"2013-10-15T00:00:00.000",70800,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING  LOCATED AT APT G3\, 3rd STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-11-19T00:00:00.000","8841","8841","G3"
"20 AVENUE","2013-12-03T00:00:00.000",NULL,357008,-74.003309,11214,40.599716,10001418,"B","2013-10-09T00:00:00.000",NULL,"Bath Beach",11,"Close",43,286,3064670012,"3",6467,809985,4707917,"VIOLATION CLOSED","2017-06-21T00:00:00.000",12,"2013-10-12T00:00:00.000","Original",702,NULL,"8841","BROOKLYN",3328521,3,"2013-10-15T00:00:00.000",70800,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR MISSING  LOCATED AT APT G3\, 3rd STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-11-19T00:00:00.000","8841","8841","G3"
"BEDFORD AVENUE","2014-01-28T00:00:00.000",NULL,362437,-73.956019,11225,40.66802,10001425,"A","2013-10-09T00:00:00.000",NULL,"Crown Heights South",9,"Close",35,323,3012810009,"1",1281,205736,4706642,"VIOLATION CLOSED","2014-11-18T00:00:00.000",9,"2013-10-10T00:00:00.000","Original",529,NULL,"1589","BROOKLYN",3033480,3,"2013-10-11T00:00:00.000",18630,"SECTION 27-2005 ADM CODE  REFIT VESTIBULE DOOR   AT PUBLIC HALL\, 1st STORY",19,"2014-01-14T00:00:00.000","1589","1589",NULL
"1 STREET","2014-01-28T00:00:00.000",NULL,301488,-73.979239,11215,40.67252,10001443,"A","2013-10-09T00:00:00.000",NULL,"Park Slope-Gowanus",6,"Close",39,155,3009710015,"3",971,126775,4706603,"VIOLATION CLOSED","2016-02-17T00:00:00.000",15,"2013-10-10T00:00:00.000","Original",508,NULL,"394","BROOKLYN",3020875,3,"2013-10-11T00:00:00.000",5080,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILINGS  IN THE ENTIRE APARTMENT  LOCATED AT APT 3L\, 3rd STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2014-01-14T00:00:00.000","394","394","3L"
"EAST 21 STREET","2013-12-03T00:00:00.000",NULL,313393,-73.960533,11226,40.653202,10001454,"B","2013-10-09T00:00:00.000",NULL,"Flatbush",14,"Close",40,50803,3050630009,"6",5063,249576,4707860,"VIOLATION CLOSED","2015-06-03T00:00:00.000",9,"2013-10-12T00:00:00.000","Original",538,NULL,"55","BROOKLYN",3116155,3,"2013-10-15T00:00:00.000",35730,"SECTION 27-2005\, 2007 ADM CODE  REMOVE ALL ENCUMBRANCES CONSISTING OF HOUSEHOLD ARTICLES  AT PUBLIC HALL\, 6th STORY",19,"2013-11-19T00:00:00.000","43","55",NULL
"LORING PLACE NORTH","2013-11-29T00:00:00.000",NULL,203645,-73.908017,10468,40.862196,10001455,"B","2013-10-09T00:00:00.000",NULL,"Kingsbridge Heights",7,"Close",14,255,2032250106,"3",3225,92715,4706493,"VIOLATION CLOSED","2015-12-17T00:00:00.000",106,"2013-10-10T00:00:00.000","Original",593,NULL,"2326","BRONX",2014946,2,"2013-10-11T00:00:00.000",47020,"SECTION 27-2026 ADM CODE  REPAIR THE FLUSHING APPARATUS AND MAINTAIN SAME SO AS TO FLUSH EFFECTIVELY THE WATER CLOSET ..  IN THE BATHROOM  LOCATED AT APT 3E\, 3rd STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","2326","2326","3E"
"HEGEMAN AVENUE","2013-11-29T00:00:00.000",NULL,306540,-73.88745,11207,40.661732,10001457,"B","2013-10-09T00:00:00.000",NULL,"East New York",5,"Close",42,1104,3043280001,"Fire Escape",4328,309620,4706714,"VIOLATION CLOSED","2017-01-20T00:00:00.000",1,"2013-10-10T00:00:00.000","Original",539,NULL,"660","BROOKLYN",3097442,3,"2013-10-11T00:00:00.000",48330,"SECTION 27-2005\, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES AT ALL BALCONIES\,  BUILDING SOUTH\,",19,"2013-11-15T00:00:00.000","660","660",NULL
"LORING PLACE NORTH","2013-11-29T00:00:00.000",NULL,203645,-73.908017,10468,40.862196,10001466,"B","2013-10-09T00:00:00.000",NULL,"Kingsbridge Heights",7,"Close",14,255,2032250106,"3",3225,92715,4706493,"VIOLATION CLOSED","2015-12-17T00:00:00.000",106,"2013-10-10T00:00:00.000","Original",505,NULL,"2326","BRONX",2014946,2,"2013-10-11T00:00:00.000",47020,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE WINDOW COUNTER BALANCE AT LOWER SASH   IN THE BATHROOM  LOCATED AT APT 3E\, 3rd STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","2326","2326","3E"
"LINCOLN PLACE","2015-12-30T00:00:00.000",NULL,331126,-73.943274,11213,40.670419,10001480,"B","2013-10-09T00:00:00.000",NULL,"Crown Heights North",8,"Close",35,339,3012570043,"2",1257,326132,5304072,"VIOLATION CLOSED","2016-01-12T00:00:00.000",43,"2013-10-11T00:00:00.000","Reissued",583,"2015-12-19T00:00:00.000","1005","BROOKLYN",3032445,3,"2015-11-11T00:00:00.000",56030,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK ...           CEILING IN THE BATHROOM  LOCATED AT APT 2A\, 2nd STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2015-12-16T00:00:00.000","1005","1005","2A"
"73 ROAD","2013-11-29T00:00:00.000",NULL,409886,-73.839339,11375,40.718132,10001482,"B","2013-10-09T00:00:00.000",NULL,"Forest Hills",6,"Close",29,76901,4032930074,"6",3293,470301,4706863,"VIOLATION CLOSED","2016-10-07T00:00:00.000",74,"2013-10-10T00:00:00.000","Original",501,NULL,"110-20","QUEENS",4078806,4,"2013-10-11T00:00:00.000",15490,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE SHOWER HANDELS AND ASSEMBLY  SHOWER BODY AT STANDING SHOWER  IN THE BATHROOM  LOCATED AT APT 6H\, 6th STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-11-15T00:00:00.000","110-20","110-20","6H"
"HEGEMAN AVENUE","2013-11-29T00:00:00.000",NULL,306540,-73.88745,11207,40.661732,10001485,"B","2013-10-09T00:00:00.000",NULL,"East New York",5,"Close",42,1104,3043280001,"Fire Escape",4328,309620,4706714,"VIOLATION CLOSED","2017-01-20T00:00:00.000",1,"2013-10-10T00:00:00.000","Original",539,NULL,"660","BROOKLYN",3097442,3,"2013-10-11T00:00:00.000",48330,"SECTION 27-2005\, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES 3RD STORY BALCONY AT THE SECOND STACK FROM EAST\, BUILDING NORTH\,",19,"2013-11-15T00:00:00.000","660","660",NULL
"130 AVENUE","2013-11-29T00:00:00.000",NULL,420476,-73.776082,11434,40.676344,10001500,"B","2013-10-09T00:00:00.000",NULL,"Springfield Gardens North",12,"Close",28,33402,4124950002,"1",12495,810846,4706954,"VIOLATION CLOSED","2015-03-24T00:00:00.000",2,"2013-10-10T00:00:00.000","Original",508,NULL,"163-49","QUEENS",4436338,4,"2013-10-11T00:00:00.000",21870,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING   IN THE 4th ROOM  FROM NORTH LOCATED AT APT GC\, 1st STORY\, APARTMENT AT  NORTH",19,"2013-11-15T00:00:00.000","163-45","163-45","GC"
"130 AVENUE","2013-11-29T00:00:00.000",NULL,420476,-73.776082,11434,40.676344,10001511,"B","2013-10-09T00:00:00.000",NULL,"Springfield Gardens North",12,"Close",28,33402,4124950002,"1",12495,810846,4706954,"VIOLATION CLOSED","2015-03-24T00:00:00.000",2,"2013-10-10T00:00:00.000","Original",583,NULL,"163-49","QUEENS",4436338,4,"2013-10-11T00:00:00.000",21870,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  (AKA 170-44 A30 AVENUE)  IN THE 4th ROOM  FROM NORTH LOCATED AT APT GC\, 1st STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","163-45","163-45","GC"
"OCEAN AVENUE","2013-11-29T00:00:00.000",NULL,328913,-73.960842,11226,40.649256,10001515,"B","2013-10-09T00:00:00.000",NULL,"Flatbush",14,"Close",40,51002,3051010017,"5",5101,347751,4706765,"VIOLATION CLOSED","2015-02-26T00:00:00.000",17,"2013-10-10T00:00:00.000","Original",583,NULL,"561","BROOKLYN",3117139,3,"2013-10-11T00:00:00.000",67530,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE BATHROOM  LOCATED AT APT 5J\, 5th STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","555","555","5J"
"GATES AVENUE","2016-09-29T00:00:00.000",NULL,374508,-73.937872,11221,40.687689,11346972,"B","2016-08-09T00:00:00.000",NULL,"Stuyvesant Heights",3,"Close",36,277,3016290001,"1",1629,808401,5491723,"VIOLATION CLOSED","2018-10-05T00:00:00.000",1,"2016-08-10T00:00:00.000","Original",550,NULL,"715","BROOKLYN",3398080,3,"2016-08-11T00:00:00.000",43330,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT WEST WALL APPROX. 6 SQUARE FEET  IN THE 1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 1A\, 1st STORY\, 2nd APARTMENT FROM WEST AT NORTH",19,"2016-09-15T00:00:00.000","715","715","1A"
"LINCOLN PLACE","2015-12-30T00:00:00.000",NULL,331126,-73.943274,11213,40.670419,10001524,"B","2013-10-09T00:00:00.000",NULL,"Crown Heights North",8,"Close",35,339,3012570043,"2",1257,326132,5304072,"VIOLATION CLOSED","2016-01-12T00:00:00.000",43,"2013-10-11T00:00:00.000","Reissued",583,"2015-12-19T00:00:00.000","1005","BROOKLYN",3032445,3,"2015-11-11T00:00:00.000",56030,"SECTION 27-2026\, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK ...           CEILING IN THE KITCHEN  LOCATED AT APT 2A\, 2nd STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2015-12-16T00:00:00.000","1005","1005","2A"
"EAST 162 STREET","2013-10-21T00:00:00.000",NULL,206523,-73.912506,10451,40.824473,10001525,"C","2013-10-09T00:00:00.000",NULL,"Morrisania-Melrose",3,"Close",17,141,2023830018,"3",2383,64531,4706988,"VIOLATION CLOSED","2016-07-12T00:00:00.000",18,"2013-10-10T00:00:00.000","Original",670,NULL,"430","BRONX",2001509,2,"2013-10-11T00:00:00.000",26520,"SECTION 27-2031 ADM CODE  PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT  LOCATED AT APT 3W\, 3rd STORY\, 1st APARTMENT FROM WEST AT NORTH",19,"2013-10-10T00:00:00.000","430","430","3W"
"73 ROAD","2014-01-28T00:00:00.000",NULL,409886,-73.839339,11375,40.718132,10001532,"A","2013-10-09T00:00:00.000",NULL,"Forest Hills",6,"Close",29,76901,4032930074,"6",3293,470301,4706862,"VIOLATION CLOSED","2016-10-07T00:00:00.000",74,"2013-10-10T00:00:00.000","Original",556,NULL,"110-20","QUEENS",4078806,4,"2013-10-11T00:00:00.000",15490,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT WALLS AND CEILING  IN THE ENTIRE APARTMENT  LOCATED AT APT 6H\, 6th STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2014-01-14T00:00:00.000","110-20","110-20","6H"
"WEST 180 STREET","2013-11-29T00:00:00.000",NULL,128209,-73.936955,10033,40.849644,10001530,"B","2013-10-09T00:00:00.000",NULL,"Washington Heights South",12,"Close",10,265,1021760042,"1",2176,43387,4706323,"VIOLATION CLOSED","2017-10-24T00:00:00.000",42,"2013-10-10T00:00:00.000","Original",501,NULL,"714","MANHATTAN",1064266,1,"2013-10-11T00:00:00.000",37350,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE COUNTER BALANCE AT LOWER SASH SOUTH WEST WINDOW  IN THE 1st ROOM  FROM EAST AT SOUTH LOCATED AT APT 3A\, 1st STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2013-11-15T00:00:00.000","712","712","3A"
"4 AVENUE","2013-10-23T00:00:00.000",NULL,334467,-74.018622,11220,40.640667,10001536,"C","2013-10-09T00:00:00.000",NULL,"Sunset Park West",7,"Close",38,72,3057810041,"1",5781,129366,4705790,"VIOLATION CLOSED","2016-09-30T00:00:00.000",41,"2013-10-09T00:00:00.000","Original",501,"2013-10-23T00:00:00.000","6022","BROOKLYN",3143388,3,"2013-10-10T00:00:00.000",5430,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE DOOR AND DOOR LOCK AT VESTIBULE DOOR \, 1st STORY",19,"2013-10-18T00:00:00.000","6022","6022",NULL
"EAST 193 STREET","2013-12-27T00:00:00.000",NULL,200231,-73.896515,10468,40.866075,10028479,"B","2013-11-06T00:00:00.000",NULL,"Bedford Park-Fordham North",7,"Close",14,401,2031770041,"5",3177,66887,4721206,"VIOLATION CLOSED","2017-10-24T00:00:00.000",41,"2013-11-07T00:00:00.000","Original",501,NULL,"65","BRONX",2013945,2,"2013-11-08T00:00:00.000",27450,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOCK AT DOOR  IN THE 2nd ROOM  FROM NORTH LOCATED AT APT 5B\, 5th STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2013-12-13T00:00:00.000","51","65","5B"
"SICKLES STREET","2015-05-03T00:00:00.000",NULL,122998,-73.927757,10040,40.861296,10001537,"A","2013-10-09T00:00:00.000",NULL,"Washington Heights North",12,"Open",10,285,1021740131,"Basement",2174,27622,4983659,"FIRST NO ACCESS TO RE- INSPECT VIOLATION","2015-09-09T00:00:00.000",131,"2013-10-10T00:00:00.000","Reissued",508,NULL,"36","MANHATTAN",1064192,1,"2015-01-14T00:00:00.000",30590,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE  CEILING  IN THE BATHROOM  LOCATED AT APT BSMT\, 2nd APARTMENT FROM SOUTH AT WEST \, SECTION  AT  WEST",22,"2015-04-19T00:00:00.000","30","30","BSMT"
"73 ROAD","2013-11-29T00:00:00.000",NULL,409886,-73.839339,11375,40.718132,10001538,"B","2013-10-09T00:00:00.000",NULL,"Forest Hills",6,"Close",29,76901,4032930074,"6",3293,470301,4706863,"VIOLATION CLOSED","2016-10-07T00:00:00.000",74,"2013-10-10T00:00:00.000","Original",501,NULL,"110-20","QUEENS",4078806,4,"2013-10-11T00:00:00.000",15490,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE IMPROPERLY COUNTERBALANCE LOWER WINDOWSASH (TOTAL 9 WINDOWS)  IN THE ENTIRE APARTMENT  LOCATED AT APT 6H\, 6th STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-11-15T00:00:00.000","110-20","110-20","6H"
"EAST 3 STREET","2015-12-27T00:00:00.000",NULL,115255,-73.989,10003,40.725204,10001541,"A","2013-10-09T00:00:00.000",NULL,"East Village",3,"Close",2,3602,1004440018,"2",444,10634,5197052,"VIOLATION DISMISSED","2015-12-03T00:00:00.000",18,"2013-10-10T00:00:00.000","Reissued",556,"2015-09-22T00:00:00.000","58","MANHATTAN",1006121,1,"2015-09-09T00:00:00.000",17050,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE  CEILING  IN THE BATHROOM  LOCATED AT APT 8\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",9,"2015-12-13T00:00:00.000","58","58","8"
"EAST 3 STREET","2015-12-27T00:00:00.000",NULL,115255,-73.989,10003,40.725204,10001546,"A","2013-10-09T00:00:00.000",NULL,"East Village",3,"Close",2,3602,1004440018,"2",444,10634,5197052,"VIOLATION DISMISSED","2015-12-03T00:00:00.000",18,"2013-10-10T00:00:00.000","Reissued",501,"2015-09-22T00:00:00.000","58","MANHATTAN",1006121,1,"2015-09-09T00:00:00.000",17050,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE LIGHT FIXTURE AT CEILING  IN THE KITCHEN  LOCATED AT APT 8\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",9,"2015-12-13T00:00:00.000","58","58","8"
"EAST 3 STREET","2015-10-28T00:00:00.000",NULL,115255,-73.989,10003,40.725204,10001548,"B","2013-10-09T00:00:00.000",NULL,"East Village",3,"Close",2,3602,1004440018,"2",444,10634,5197053,"VIOLATION CLOSED","2015-12-23T00:00:00.000",18,"2013-10-10T00:00:00.000","Reissued",508,"2015-09-22T00:00:00.000","58","MANHATTAN",1006121,1,"2015-09-09T00:00:00.000",17050,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILING  IN THE KITCHEN  LOCATED AT APT 8\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2015-10-14T00:00:00.000","58","58","8"
"EAST 3 STREET","2015-10-28T00:00:00.000",NULL,115255,-73.989,10003,40.725204,10001549,"B","2013-10-09T00:00:00.000",NULL,"East Village",3,"Close",2,3602,1004440018,"2",444,10634,5197053,"VIOLATION CLOSED","2015-12-23T00:00:00.000",18,"2013-10-10T00:00:00.000","Reissued",508,"2015-09-22T00:00:00.000","58","MANHATTAN",1006121,1,"2015-09-09T00:00:00.000",17050,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS   IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 8\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2015-10-14T00:00:00.000","58","58","8"
"EAST 3 STREET","2015-10-28T00:00:00.000",NULL,115255,-73.989,10003,40.725204,10001550,"B","2013-10-09T00:00:00.000",NULL,"East Village",3,"Close",2,3602,1004440018,"2",444,10634,5197053,"VIOLATION CLOSED","2015-10-14T00:00:00.000",18,"2013-10-10T00:00:00.000","Reissued",1503,"2015-09-22T00:00:00.000","58","MANHATTAN",1006121,1,"2015-09-09T00:00:00.000",17050,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 8\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2015-10-14T00:00:00.000","58","58","8"
"EAST 3 STREET","2015-10-28T00:00:00.000",NULL,115255,-73.989,10003,40.725204,10001551,"B","2013-10-09T00:00:00.000",NULL,"East Village",3,"Close",2,3602,1004440018,"2",444,10634,5197053,"VIOLATION CLOSED","2015-10-14T00:00:00.000",18,"2013-10-10T00:00:00.000","Reissued",702,"2015-09-22T00:00:00.000","58","MANHATTAN",1006121,1,"2015-09-09T00:00:00.000",17050,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 8\, 2nd STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2015-10-14T00:00:00.000","58","58","8"
"LINCOLN PLACE","2015-12-30T00:00:00.000",NULL,331126,-73.943274,11213,40.670419,10001552,"B","2013-10-09T00:00:00.000",NULL,"Crown Heights North",8,"Close",35,339,3012570043,"2",1257,326132,5304072,"VIOLATION CLOSED","2016-01-12T00:00:00.000",43,"2013-10-11T00:00:00.000","Reissued",509,"2015-12-19T00:00:00.000","1005","BROOKLYN",3032445,3,"2015-11-11T00:00:00.000",56030,"SECTION 27-2005 ADM CODE  PROPERLY SECURE THE LOOSE  WASH BASIN CABINET TO WALL  IN THE BATHROOM  LOCATED AT APT 2A\, 2nd STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2015-12-16T00:00:00.000","1005","1005","2A"
"THOMAS S BOYLAND STREET","2016-09-30T00:00:00.000",NULL,327533,-73.913582,11233,40.67808,11272240,"A","2016-06-12T00:00:00.000",NULL,"Ocean Hill",16,"Open",41,301,3015500036,"2",1550,313693,5450165,"NOV CERTIFIED LATE","2016-10-04T00:00:00.000",36,"2016-06-12T00:00:00.000","Original",501,"2016-10-04T00:00:00.000","186","BROOKLYN",3042159,3,"2016-06-13T00:00:00.000",50830,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE CABINET DRAWS (2 TOTAL) AT BASE CABINET  IN THE KITCHEN  LOCATED AT APT 2F\, 2nd STORY\, 1st APARTMENT FROM EAST AT SOUTH",4,"2016-09-16T00:00:00.000","186","186","2F"
"OCEAN AVENUE","2013-12-03T00:00:00.000",NULL,328913,-73.960842,11226,40.649256,10001554,"B","2013-10-09T00:00:00.000",NULL,"Flatbush",14,"Close",40,51002,3051010017,"5",5101,347751,4707896,"VIOLATION CLOSED","2015-02-26T00:00:00.000",17,"2013-10-12T00:00:00.000","Original",501,NULL,"561","BROOKLYN",3117139,3,"2013-10-15T00:00:00.000",67530,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOWER SASH WNDOW COUNTER BALANCES  IN THE 1st ROOM  FROM EAST LOCATED AT APT 5J\, 5th STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-19T00:00:00.000","555","555","5J"
"OCEAN AVENUE","2013-11-29T00:00:00.000",NULL,328913,-73.960842,11226,40.649256,10001558,"B","2013-10-09T00:00:00.000",NULL,"Flatbush",14,"Close",40,51002,3051010017,"5",5101,347751,4706765,"VIOLATION CLOSED","2016-09-08T00:00:00.000",17,"2013-10-10T00:00:00.000","Original",568,NULL,"561","BROOKLYN",3117139,3,"2013-10-11T00:00:00.000",67530,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 5J\, 5th STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","555","555","5J"
"LINCOLN PLACE","2015-12-30T00:00:00.000",NULL,331126,-73.943274,11213,40.670419,10001560,"B","2013-10-09T00:00:00.000",NULL,"Crown Heights North",8,"Close",35,339,3012570043,"2",1257,326132,5304072,"VIOLATION CLOSED","2016-01-12T00:00:00.000",43,"2013-10-11T00:00:00.000","Reissued",579,"2015-12-19T00:00:00.000","1005","BROOKLYN",3032445,3,"2015-11-11T00:00:00.000",56030,"SECTION 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS  HOT WATER  AT WASH BASIN  IN THE BATHROOM  LOCATED AT APT 2A\, 2nd STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2015-12-16T00:00:00.000","1005","1005","2A"
"EAST 162 STREET","2013-10-24T00:00:00.000",NULL,206523,-73.912506,10451,40.824473,10001561,"C","2013-10-09T00:00:00.000",NULL,"Morrisania-Melrose",3,"Close",17,141,2023830018,"Cellar",2383,64531,4706414,"VIOLATION CLOSED","2016-07-12T00:00:00.000",18,"2013-10-10T00:00:00.000","Original",672,NULL,"430","BRONX",2001509,2,"2013-10-11T00:00:00.000",26520,"SECTION  27-2033 ADM CODE  PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM   DOOR LOCKED   AT BOILER ROOM",19,"2013-10-19T00:00:00.000","430","430",NULL
"ASTOR AVENUE","2014-01-28T00:00:00.000",NULL,221472,-73.864137,10467,40.859627,10001563,"A","2013-10-09T00:00:00.000",NULL,"Bronxdale",11,"Close",13,328,2043520001,"2",4352,46443,4706362,"VIOLATION CLOSED","2016-02-26T00:00:00.000",1,"2013-10-10T00:00:00.000","Original",529,NULL,"789","BRONX",2050092,2,"2013-10-11T00:00:00.000",9620,"SECTION 27-2005 ADM CODE  REFIT CLOSET DOOR  IN THE FOYER  LOCATED AT APT 2M\, 2nd STORY\, 2nd APARTMENT FROM WEST AT NORTH",19,"2014-01-14T00:00:00.000","775","789","2M"
"OCEAN AVENUE","2013-11-29T00:00:00.000",NULL,328913,-73.960842,11226,40.649256,10001565,"B","2013-10-09T00:00:00.000",NULL,"Flatbush",14,"Close",40,51002,3051010017,"5",5101,347751,4706765,"VIOLATION CLOSED","2015-02-26T00:00:00.000",17,"2013-10-10T00:00:00.000","Original",569,NULL,"561","BROOKLYN",3117139,3,"2013-10-11T00:00:00.000",67530,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT  LOCATED AT APT 5J\, 5th STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","555","555","5J"
"EAST 162 STREET","2013-11-29T00:00:00.000",NULL,206523,-73.912506,10451,40.824473,10001569,"B","2013-10-09T00:00:00.000",NULL,"Morrisania-Melrose",3,"Close",17,141,2023830018,"3",2383,64531,4706413,"VIOLATION CLOSED","2016-07-19T00:00:00.000",18,"2013-10-10T00:00:00.000","Original",570,NULL,"430","BRONX",2001509,2,"2013-10-11T00:00:00.000",26520,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF BEDBUGS IN THE ENTIRE APARTMENT  LOCATED AT APT 3W\, 3rd STORY\, 1st APARTMENT FROM WEST AT NORTH",19,"2013-11-15T00:00:00.000","430","430","3W"
